player_id,attribute_date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
38423,2010-02-22 00:00:00,68,70,right,,_0,60,50,60,74,,74,,53,62,73,74,70,,63,,64,,71,64,55,63,69,70,,47,52,50,,7,20,62,20,20
38423,2009-08-30 00:00:00,68,70,right,,_0,60,50,60,74,,74,,53,62,73,74,70,,63,,64,,71,64,55,63,69,70,,47,52,50,,7,20,62,20,20
38423,2008-08-30 00:00:00,68,69,right,,_0,60,50,60,74,,74,,53,62,73,74,70,,63,,64,,71,64,55,63,69,70,,47,52,50,,7,20,62,20,20
38423,2007-08-30 00:00:00,70,69,right,,_0,60,50,60,74,,74,,53,62,73,74,70,,63,,64,,71,64,55,63,69,70,,47,52,50,,7,20,62,20,20
38423,2007-02-22 00:00:00,70,69,right,,_0,60,50,70,74,,74,,47,62,73,76,70,,63,,74,,73,74,55,73,69,70,,47,72,70,,7,7,62,12,5
32637,2010-02-22 00:00:00,61,65,right,,_0,42,60,54,52,,51,,42,35,60,74,77,,52,,71,,61,71,59,30,52,57,,66,22,27,,7,20,35,20,20
32637,2009-08-30 00:00:00,56,65,right,,_0,42,50,39,57,,51,,42,35,53,71,74,,52,,66,,61,46,59,30,52,49,,47,22,27,,7,20,35,20,20
32637,2009-02-22 00:00:00,66,76,right,,_0,42,74,39,57,,76,,42,35,71,81,84,,52,,68,,61,53,52,41,52,49,,47,22,27,,7,20,35,20,20
32637,2008-08-30 00:00:00,66,76,right,,_0,42,74,39,57,,76,,42,35,71,81,84,,52,,68,,61,53,52,41,52,49,,47,22,27,,7,20,35,20,20
32637,2007-08-30 00:00:00,72,76,right,,_0,42,74,39,57,,76,,42,35,71,81,84,,52,,68,,61,53,52,41,52,49,,47,22,27,,7,20,35,20,20
32637,2007-02-22 00:00:00,59,70,right,,_0,42,65,39,57,,54,,47,35,55,63,65,,52,,55,,57,52,44,41,52,49,,47,22,27,,7,6,35,7,4
